text,user,location,genre,sentiment
Our Skype Chat room where  awaits your request  OnAirNow  RockMusic  CountryMusic    Radio As It Should Be  MusicMonday,BGLRadio,DJs from North AmericaUK ,rock,0.0
  an Indie Rock band from New York Lovechild HatsOff indie rock band music song indierock indiemusic indieband indiesong rockmusic rockband NewYork USA SNSG,SNSG,Montijo Portugal,rock,0.04545454545454545
Little bit of CountryMusic little bit of RockMusic for your MusicMonday  TuneIn and join   on   or  app   or   MondayMotivaton ,BGLRadio,DJs from North AmericaUK ,rock,-0.1875
Terry rockin his kit in a live show with Pocket Band  Our new CD Pink Hotel is available now Download on your favorite platform amp Get the whole story at  newmusic music rocknroll rockmusic ,pinkhotelvip,Pink Hotel,rock,0.21212121212121213
Cool pic of Kiss from the Lick It Up era      hardrock heavymetal classicrock 80srock rockmusic paulstanley vinnievincent ericcarr genesimmmons ,Thesandwellstud,england,rock,0.35
Bring Me The Horizon announce Parasite Eve this Thursday Get ready for some new BMTH music bringmethehorizon bmth parasiteeve headrushtv album albums deathmetal rock metal hardrock newmusic metalmeme headbanger metalhead metalmemes rockmusic news media ,HeadRushTV,Boston MA USA,rock,0.16818181818181818
Cool pic of VinneVincent from the Creatures Of The Night era of Kiss   hardrock 80srock heavymetal rockmusic guitarist guitarlegend KISSARMY KISSTORY ,Thesandwellstud,england,rock,0.35
WE SUPPORT UNSIGNED BANDS Send us your MP3 and be in our playlist PANAMA ROCK RADIO Follow us and send us a private message ROCK ROCKMUSIC MUSIC LISTEN HERE  ,panamarhradio,Track Unfollowers Panama City,rock,0.0
Check this fascinating artist Lebanese RockMusic pioneer amp HumanitarianActivist  Listen to her song Guardian Angel    SingerSongwriter RockStar PopMusic ,ThomasVitins,Brummana Lebanon,rock,0.7
Discover this powerful emotional mesmerizing voice great songs and unique sound of the exceptional artist  Lebanese RockMusic pioneer and HumanitarianActivist     SingerSongwriter PopMusic ,ThomasVitins,Brummana Lebanon,rock,0.4059523809523809
Check this fascinating artist Lebanese RockMusic pioneer amp HumanitarianActivist  Listen to her song Shine    SingerSongwriter RockStar PopMusic ,ThomasVitins,Brummana Lebanon,rock,0.7
NewMusicAlert Another banger from  Listen to You Dont Drink A Unicorns Blood new single from their forthcoming album now  Review ListenHere MusicVideo NewRelease rockmusic band independent Bristol  WordPress  ,MusicMattersGB,South East England UK,rock,0.021645021645021644
If Metallica were medieval Just class  metallica medieval folk folkmusic rockmusic,unknowntemplar,,rock,0.0
How To Collaborate With Music Artist  via YouTube NewMusic howto musicindustry musicbusiness NewArtists musicartist rockmusic hiphop edm Jazz NowPlaying️ tag a musicproducer or artist ,bageteam1,London England,rock,0.0
